"","country","iso3","lat_avg","lon_avg"
"190","Saint Helena, Ascension and Tristan da Cunha","SHN",-15.9333,-5.7
"191","Saint Kitts and Nevis","KNA",17.3333,-62.75
"192","Saint Lucia","LCA",13.8833,-61.1333
"193","Saint Pierre and Miquelon","SPM",46.8333,-56.3333
"194","Saint Vincent and the Grenadines","VCT",13.25,-61.2
"195","Saint Vincent & the Grenadines","VCT",13.25,-61.2
"196","St. Vincent and the Grenadines","VCT",13.25,-61.2
"197","Samoa","WSM",-13.5833,-172.3333
"198","San Marino","SMR",43.7667,12.4167
"199","Sao Tome and Principe","STP",1,7
"200","Saudi Arabia","SAU",25,45
"201","Senegal","SEN",14,-14
"202","Serbia","SRB",44,21
"203","Seychelles","SYC",-4.5833,55.6667
"204","Sierra Leone","SLE",8.5,-11.5
"205","Singapore","SGP",1.3667,103.8
"206","Slovakia","SVK",48.6667,19.5
"207","Slovenia","SVN",46,15
"208","Solomon Islands","SLB",-8,159
"209","Somalia","SOM",10,49
"210","South Africa","ZAF",-29,24
"211","South Georgia and the South Sandwich Islands","SGS",-54.5,-37
"212","South Sudan","SSD",8,30
"213","Spain","ESP",40,-4
"214","Sri Lanka","LKA",7,81
"215","Sudan","SDN",15,30
"216","Suriname","SUR",4,-56
"217","Svalbard and Jan Mayen","SJM",78,20
"218","Swaziland","SWZ",-26.5,31.5
"219","Sweden","SWE",62,15
"220","Switzerland","CHE",47,8
"221","Syrian Arab Republic","SYR",35,38
"222","Taiwan, Province of China","TWN",23.5,121
"223","Taiwan","TWN",23.5,121
"224","Tajikistan","TJK",39,71
"225","Tanzania, United Republic of","TZA",-6,35
"226","Thailand","THA",15,100
"227","Timor-Leste","TLS",-8.55,125.5167
"228","Togo","TGO",8,1.1667
"229","Tokelau","TKL",-9,-172
"230","Tonga","TON",-20,-175
"231","Trinidad and Tobago","TTO",11,-61
"232","Tunisia","TUN",34,9
"233","Turkey","TUR",39,35
"234","Turkmenistan","TKM",40,60
"235","Turks and Caicos Islands","TCA",21.75,-71.5833
"236","Tuvalu","TUV",-8,178
