"","x"
"1","inform"
"2","informe"
"3","numero"
"4","ministério"
"5","CIEX"
"6","informação"
"7","data"
"8","inteligência"
"9","exterior"
"10","correspondência"
"11","governo"
"12","serviço"
"13","relaço"
"14","centro"
"15","informaço"
"16","secreto"
"17","sobr"
"18","força"
"19","referência"
"20","anexo"
"21","secem"
"22","secema"
