"stndr_name","iso3","date","Country","lat_avg","lon_avg"
"Sofia Angelites","CZS","1968-10-06","Czechoslovakia",50.0755,14.4378
"Pedro Ferreira de Medeiros","CZS","1968-01-14","Czechoslovakia",50.0755,14.4378
"Joaquim da Silveira","FRG","1968-05-01","Federal Republic of Germany",50.7374,7.0982
"Benedito Cerqueira da Silva","CZS","1968-10-03","Czechoslovakia",50.0755,14.4378
"Maria Danilevich","SUN","1969-02-27","Soviet Union",60,100
"Livio Abramo","PRI","1970-01-07","Puerto Rico",18.2208,-66.5901
"Amaral","PRI","1970-01-26","Puerto Rico",18.2208,-66.5901
"Apolônio de Carvalho","SUN","1970-08-06","Soviet Union",60,100
"David Capistrano","CZS","1970-11-09","Czechoslovakia",50.0755,14.4378
"Alberto do Carmo","GDR","1971-04-07","German Democratic Republic",52.52,13.42
"Eloisa Vasconcellos","SUN","1967-03-19","Soviet Union",60,100
"Geraldo Vandré","YUG","1969-09-13","Socialist Federal Republic of Yugoslavia",44.7866,20.4489
"Geraldo Vandré","YUG","1969-10-20","Socialist Federal Republic of Yugoslavia",44.7866,20.4489
"Geraldo Vandré","FRG","1970-01-18","Federal Republic of Germany",50.7374,7.0982
"Alberto do Carmo","GDR","1971-08-10","German Democratic Republic",52.52,13.42
"Roberto Yousef Antonio","PRI","1971-08-07","Puerto Rico",18.2208,-66.5901
"Sebastião Ribeiro Hoyos","CZS","1967-07-05","Czechoslovakia",50.0755,14.4378
"Sebastião Ribeiro Hoyos","CZS","1967-03-26","Czechoslovakia",50.0755,14.4378
"Alberto do Carmo","GDR","1969-05-24","German Democratic Republic",52.52,13.42
"Gregório Bezerra","SUN","1971-08-25","Soviet Union",60,100
"Iracema de Melo Cerqueira","CZS","1971-11-09","Czechoslovakia",50.0755,14.4378
"Elma Cerqueira","CZS","1971-11-09","Czechoslovakia",50.0755,14.4378
"Ézio Cerqueira","CZS","1971-11-09","Czechoslovakia",50.0755,14.4378
"Benedito Cerqueira da Silva","CZS","1971-12-03","Czechoslovakia",50.0755,14.4378
"Benedito Cerqueira da Silva","CZS","1971-12-09","Czechoslovakia",50.0755,14.4378
"Benedito Cerqueira da Silva","CZS","1971-12-13","Czechoslovakia",50.0755,14.4378
"José de Magalhães Pinto","FRG","1969-06-16","Federal Republic of Germany",50.7374,7.0982
"Gilberto Freyre","FRG","1969-09-17","Federal Republic of Germany",50.7374,7.0982
"Luís Carlos Prestes","SUN","1972-12-22","Soviet Union",60,100
"João Paulo dos Reis Velloso","SUN","1973-11-21","Soviet Union",60,100
"Reinaldo José de Melo Peixoto","FRG","1973-12-29","Federal Republic of Germany",50.7374,7.0982
