"","x"
"brasil",2474
"uruguai",1159
"chile",1081
"argentina",937
"cuba",733
"china",529
"portugal",324
"peru",252
"bolívia",225
"venezuela",218
"nicarágua",207
"méxico",172
"panamá",166
"guiana",163
"angola",154
"alemanha",137
"frança",123
"paraguai",122
"argélia",107
"israel",102
