inform
informe
numero
ministério
CIEX
informação
data
inteligência
exterior
correspondência
governo
serviço
relaçõ
centro
informaço
secreto
sobr
força
referência
anexo
secem
secema
ciex
avaliação
avaliacao
indice
índice
secreto 
avaliação»
avaliação•
dei
difusão
distribuição
exteriores
informações
natureza
obtenção
relações
ias
ser
