"stndr_name","iso3","date","country","lat_avg","lon_avg"
"Eitel Friedrich Riefenstah","FRG","1972-04-30","Federal Republic of Germany",50.7374,7.0982
"Igor Dmitrievich Biryukov","SUN","1972-09-09","Soviet Union",60,100
"Vladimir Gerasimovich Filatov","SUN","1972-09-04","Soviet Union",60,100
"Yuriy Borisovich Kashley","SUN","1972-09-21","Soviet Union",60,100
"Boris Georgiyevich Kolodyazhniy","SUN","1972-09-15","Soviet Union",60,100
"Geogiy Aleksandrovich Kuznetsov","SUN","1972-09-09","Soviet Union",60,100
"Yuriy Faddeyevich Sefelev","SUN","1972-09-12","Soviet Union",60,100
"Yuriy Nikolaevich Voronin","SUN","1972-09-06","Soviet Union",60,100
"Ivan Favlovich Azarov","SUN","1972-09-20","Soviet Union",60,100
"Yuriy Yevgeniyevich Chernetsov","SUN","1972-09-01","Soviet Union",60,100
"Sergey Mikhaylovich Gobulev","SUN","1972-09-05","Soviet Union",60,100
"Yuriy Aleksandrovich Kondratenko","SUN","1972-09-09","Soviet Union",60,100
"Igor Konstantinovich Laptev","SUN","1972-09-15","Soviet Union",60,100
"Leonid Alekseyevich Rogov","SUN","1972-09-27","Soviet Union",60,100
"Stanislav Nikolayevich Semenko","SUN","1972-09-22","Soviet Union",60,100
"Eduard Vasilyevich Ustenko","SUN","1972-09-20","Soviet Union",60,100
"Prokopiy Ivanovich Gamov","SUN","1972-09-05","Soviet Union",60,100
"Igor Konstantinovich Klimov","SUN","1972-09-14","Soviet Union",60,100
"Nikolay Konstantinovich Krykunov","SUN","1972-09-01","Soviet Union",60,100
"Ivan Aleksandrovich Kulikov","SUN","1972-09-24","Soviet Union",60,100
"Anatoliy Ivanovich Lafshin","SUN","1972-09-05","Soviet Union",60,100
"Boris Vladimirovich Makarenko","SUN","1972-09-01","Soviet Union",60,100
"Yuriy Vasiliyevich Skoptsov","SUN","1972-09-03","Soviet Union",60,100
"Konstantin Ivanovich Zotov","SUN","1972-09-04","Soviet Union",60,100
"Ivo Ant Aguvich Soydra","SUN","1972-09-24","Soviet Union",60,100
"Gennadiy Andreyevich Zhuravlev","SUN","1972-09-03","Soviet Union",60,100
"Nikolai Borisovich Bobarykin","SUN","1972-09-16","Soviet Union",60,100
"Aleksandr Petrovich Kvardakov","SUN","1972-09-09","Soviet Union",60,100
"Yuri Semenovich Cheremukhin","SUN","1972-09-09","Soviet Union",60,100
"Aleksandr Alekseyevich Gresko","SUN","1972-09-11","Soviet Union",60,100
"Anatoliy Nikolayevich Ivanov","SUN","1972-09-09","Soviet Union",60,100
"Vladislav Borisovich Karelin","SUN","1972-09-04","Soviet Union",60,100
